categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO EN METROBUS SV,2018-01-25 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.1057057916782,19.4823018348432,34,Rojo
ROBO EN METROBUS SV,2018-02-22 15:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,15 DE AGOSTO,-99.1071311456453,19.4828502692941,34,Rojo
ROBO EN METROBUS SV,2018-02-14 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1238089690881,19.4874617540707,43,Rojo
ROBO EN METROBUS SV,2017-09-18 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.14562879478208,19.493355451189398,19,Naranja
ROBO EN METROBUS SV,2018-07-12 18:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1234142965711,19.48694787066989,43,Rojo
ROBO EN METROBUS SV,2018-07-12 18:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA VALLEJO,-99.1524573957727,19.494845516315998,18,Rojo
ROBO EN METROBUS SV,2018-07-31 07:15:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.11976162281653,19.4821624906782,37,Naranja
ROBO EN METROBUS SV,2018-07-11 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.12078908116207,19.492998555064602,48,Verde
ROBO EN METROBUS SV,2018-04-19 08:55:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1188011765022,19.4851010695923,39,Verde
ROBO EN METROBUS SV,2018-05-03 08:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1223781795476,19.486666721901,43,Rojo
ROBO EN METROBUS SV,2018-02-13 18:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO,-99.1404436594991,19.4667895710113,-1,Rojo
ROBO EN METROBUS SV,2018-02-13 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SANTA ROSA,-99.1711056439845,19.5252216133265,-1,Rojo
ROBO EN METROBUS SV,2018-06-29 09:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1337126003885,19.4907299418755,32,Naranja
ROBO EN METROBUS SV,2018-02-16 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SANTA ISABEL TOLA,-99.118888422091,19.4949052941409,51,Rojo
ROBO EN METROBUS SV,2016-12-27 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12476590394432,19.4992719010443,28,Naranja
ROBO EN METROBUS SV,2017-10-04 06:05:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,15 DE AGOSTO,-99.1049582488201,19.4864097086805,33,Naranja
ROBO EN METROBUS SV,2017-11-15 20:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GUADALUPE INSURGENTES,-99.131432390461,19.476692080322398,36,Rojo
ROBO EN METROBUS SV,2017-11-29 08:08:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1224743207625,19.4867140841191,43,Rojo
ROBO EN METROBUS SV,2017-12-27 20:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,15 DE AGOSTO,-99.11068313713659,19.4836037517284,30,Naranja
ROBO EN METROBUS SV,2019-11-19 19:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,FERROCARRILERA,-99.09748,19.47918,42,Rojo
ROBO EN METROBUS SV,2019-12-17 20:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO,-99.12518,19.46805,4,Verde
ROBO EN METROBUS SV,2019-12-20 08:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.11978,19.491229999999998,-1,Rojo
ROBO EN METROBUS SV,2019-09-12 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12852,19.488870000000002,-1,Rojo
ROBO EN METROBUS SV,2019-08-06 07:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.1221,19.50029,28,Naranja
ROBO EN METROBUS SV,2019-11-06 18:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.12439,19.48744,43,Rojo
ROBO EN METROBUS SV,2019-12-06 16:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.13213,19.49033,31,Verde
ROBO EN METROBUS SV,2019-10-06 08:27:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA VALLEJO,-99.15377,19.49495,18,Rojo
ROBO EN METROBUS SV,2018-11-15 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1230802361663,19.4869422419088,43,Rojo
ROBO EN METROBUS SV,2018-11-20 15:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GUADALUPE INSURGENTES,-99.13216557528091,19.475909561338803,35,Verde
ROBO EN METROBUS SV,2018-11-21 07:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO PONIENTE,-99.1393740553235,19.468390813104104,23,Rojo
ROBO EN METROBUS SV,2018-09-04 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO EL CHICO,-99.09602647614332,19.4781008588098,41,Naranja
ROBO EN METROBUS SV,2018-11-12 07:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO ZACATENCO,-99.1147602976257,19.5032289317292,-1,Rojo
ROBO EN METROBUS SV,2018-11-05 15:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,FERROCARRILERA,-99.0977965653517,19.4792658467823,42,Rojo
ROBO EN METROBUS SV,2019-08-20 07:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO EL CHICO,-99.09714,19.47874,42,Rojo
ROBO EN METROBUS SV,2019-08-22 08:25:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11971,19.49774,-1,Rojo
ROBO EN METROBUS SV,2019-08-27 07:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.12040999999999,19.49399,49,Verde
ROBO EN METROBUS SV,2019-08-28 06:45:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN BARTOLO ATEPEHUACAN,-99.13926,19.49193,26,Verde
ROBO EN METROBUS SV,2019-08-29 07:50:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11823000000001,19.500999999999998,38,Naranja
ROBO EN METROBUS SV,2019-08-30 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.11373,19.48432,30,Naranja
ROBO EN METROBUS SV,2019-05-07 05:45:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,15 DE AGOSTO,-99.10659,19.4827,34,Rojo
ROBO EN METROBUS SV,2019-07-16 20:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.10096,19.48057,27,Naranja
ROBO EN METROBUS SV,2019-08-08 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11981999999999,19.49503,51,Rojo
ROBO EN METROBUS SV,2019-08-15 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GRANJAS MODERNAS,-99.1016,19.48037,27,Naranja
ROBO EN METROBUS SV,2019-01-10 19:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VALLEJO PONIENTE,-99.14347,19.46721,-1,Rojo
ROBO EN METROBUS SV,2019-03-10 08:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.13354,19.49084,32,Naranja
ROBO EN METROBUS SV,2019-11-10 19:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.10655,19.4825,34,Rojo
ROBO EN METROBUS SV,2019-07-21 14:55:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,GUADALUPE INSURGENTES,-99.13172,19.476760000000002,36,Rojo
ROBO EN METROBUS SV,2019-07-24 17:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.1186,19.48505,39,Verde
ROBO EN METROBUS SV,2019-07-24 21:10:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1236,19.48718,43,Rojo
ROBO EN METROBUS SV,2019-09-13 07:35:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LA PRADERA,-99.06678000000001,19.47655,9,Rojo
ROBO EN METROBUS SV,2019-09-19 08:15:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO EL CHICO,-99.09739,19.47881,42,Rojo
