categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO DE CELULAR CON VIOLENCIA,2016-09-08 11:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,EL TEPETATAL,-99.1390827298217,19.5638294182662,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-07-13 16:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,PARQUE METROPOLITANO,-99.13226723001141,19.5691471649591,91,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-01-10 06:50:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,AMPLIACION CASAS ALEMAN,-99.0799343348746,19.4759352925468,496,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-07 06:05:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,NUEVA ATZACOALCO,-99.0874815045418,19.4923740465429,216,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-01-11 20:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,GABRIEL HERNANDEZ,-99.1020999791809,19.4941523766047,590,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-12 17:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,EJIDOS SAN JUAN DE ARAGON 1A SECCION,-99.09245339737859,19.4686856608021,265,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-01-12 14:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,25 DE JULIO,-99.0800795647591,19.496881195105,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-17 19:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,GUADALUPE VICTORIA CUAUTEPEC,-99.1392424086183,19.53947037925511,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-20 11:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,Gustavo A. Madero,-99.11997644039248,19.492814778621106,379,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-28 20:25:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,15 DE AGOSTO,-99.1058322668605,19.4843864463842,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-29 17:05:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,PROGRESO NACIONAL,-99.15778312736973,19.5170620666173,158,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-23 12:22:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.1002194825211,19.4837500014863,571,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-01-24 15:10:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN JUAN DE ARAGON III SECCION,-99.0777777366268,19.4505614701522,11,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-11-13 07:45:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN FELIPE DE JESUS,-99.0708562183658,19.4944240955903,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-10-02 15:33:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LA PRADERA II,-99.063102364337,19.472564017344002,55,Rojo
ROBO DE CELULAR CON VIOLENCIA,2018-02-09 18:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,RESIDENCIAL ACUEDUCTO DE GUADALUPE,-99.14296647987908,19.5224569635745,170,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-03-31 07:45:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LA LAGUNA TICOMAN,-99.13340980874321,19.511238403247603,153,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-03-31 21:15:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,MARTIRES DE RIO BLANCO,-99.1123300206682,19.4576772603466,476,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-03-10 17:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,NUEVA INDUSTRIAL VALLEJO,-99.14525195921541,19.5071809777442,46,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-03-31 20:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SANTA ISABEL TOLA,-99.11634128770572,19.497199625312604,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-03-27 12:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,BARRIO CANDELARIA TICOMAN,-99.13690764532309,19.5225032512159,196,Rojo
